Asset Type,JP,EN,Advocate,Russian,Maker Universe,Korean,Traditional Chinese
Backdrop,お墓,graveyard,graveyard,Grave,grave,바닥,墳場
,お寺,temple1,shrine,Temple,temple,절,寺廟
,ダンジョン１,dungeon1,dungeon1,Cave,donjohn1,던젼１,迷宮1
,ダンジョン２,dungeon2,dungeon2,LavaCave,donjohnQ,던젼２,迷宮2
,ダンジョン３,dungeon3,dungeon3,IceCave,donjohnR,던젼３,迷宮3
,ダンジョン４,dungeon4,dungeon4,Stalagmites,donjohnS,던젼４,迷宮4
,ダンジョン５,dungeon5,dungeon5,Labyrinth,donjohnT,던젼５,迷宮5
,ダンジョン６,dungeon6,dungeon6,TrainingHall,donjohnU,던젼６,迷宮6
,宇宙,universe,space,Space,space,우주,宇宙
,山道,mountain road,mountain,Mountain,mountainpath,산길,山路
,岩場,rocky road,rockbed,Rocks,rocks,바위,岩壁
,廃墟,ruins1,wasteland,Ruins,wasteland,폐허,廢墟
,旧市街,old town,ghost-town,City,oldurban,구시가지,老街
,森１,forest1,forest1,Forest1,forestP,숲１,森林1
,森２,forest2,forest2,Forest2,forestQ,숲２,森林2
,橋,bridge,bridge,Bridge,bridge,다리,橋
,毒沼,swamp,swamp,Swamp,poisonswamp,독연못,毒沼
,洋館,mansion,building,InsideCastle,westernstylebuilding,양관(서양식집),洋館
,海,sea,ocean,Sea,sea,바다,海
,玉座,castle,castle,BallSeat,ballseat,옥좌,王位
,異空間,space,strange,SpaceLight,strangespacial,이공간,異次元空間
,砂浜,beach,beach,Beach,sandybeach,사구,淺灘
,砂漠,desert,desert,Desert,desert,사막,沙漠
,神殿,temple2,ruins1,Sanctuary,sanctuary,신전,神殿
,空,sky,sky,Clouds,empty,하늘,天空
,船上,ship,shipdeck,Ship,onboat,선상,船上
,草原,grassland,plains,Grass,grassyplain,초원,草原
,荒地,wasteland,barren,RoughForging,roughforging,황야,荒地
,街中,town,town,CityHouse,city,길가운데,街道
,路上,road,road,Road,road,도로 위,道路
,遺跡,ruins2,ruins2,InsidePyramid,ruins,유적,遺跡
,銭湯,bathhouse,bath,BathHouse,bathhouse,공중 목욕탕,澡堂
,闘技場,arena,arena,CompetitionPlace,competitionplace,투기장,競技場
,雪原,snow field,snowfield,Snow,snowfield,설원,雪原
Battle,2003その他1,2003 other1,misc1,2003-Other1,2003addition1,2003기타1,2003其他1
,2003その他2,2003 other2,misc2,2003-Other2,2003addition2,2003기타2,2003其他2
,2003バリア,2003 barrier,barrier1,2003-Barrier,2003barrier,2003베리어,2003護罩
,2003ブレス,2003 breath,breath1,2003-Poison,2003breath,2003브레스,2003氣息
,2003光柱,2003 light pillar,lightray,2003-Lines,2003luminouspillar,2003주위의 빛,2003光柱
,2003冷気,2003 cold,ice1,2003-Cold,2003coldair,2003냉기,2003冰
